10ClassKind	10DepthInKind	icd10Code	icd10Chapter	icd10Title	ICD-11 FoundationURI	icd11Title	2024-Jan-21
Category	1	C01	II	Malignant neoplasm of base of tongue	http://id.who.int/icd/entity/2003184099	Malignant neoplasms of base of tongue	Equivalent	0
Category	1	C02	II	Malignant neoplasm of other and unspecified parts of tongue	http://id.who.int/icd/entity/63666460	Malignant neoplasms of other or unspecified parts of tongue	Equivalent	0
Category	2	C02.0	II	Malignant neoplasm: Dorsal surface of tongue	http://id.who.int/icd/entity/579964392	Malignant neoplasm of dorsal surface of base of tongue	Equivalent	0
Category	2	C02.1	II	Malignant neoplasm: Border of tongue	http://id.who.int/icd/entity/63666460	Malignant neoplasms of other or unspecified parts of tongue	Subclass	0
Category	2	C02.2	II	Malignant neoplasm: Ventral surface of tongue	http://id.who.int/icd/entity/63666460	Malignant neoplasms of other or unspecified parts of tongue	Subclass	0
Category	2	C02.3	II	Malignant neoplasm: Anterior two-thirds of tongue, part unspecified	http://id.who.int/icd/entity/63666460	Malignant neoplasms of other or unspecified parts of tongue	Subclass	0
Category	2	C02.4	II	Malignant neoplasm: Lingual tonsil	http://id.who.int/icd/entity/1784082025	Malignant neoplasms of lingual tonsil	Equivalent	0
Category	2	C02.8	II	Malignant neoplasm: Overlapping lesion of tongue	http://id.who.int/icd/entity/63666460	Malignant neoplasms of other or unspecified parts of tongue	Subclass	0
Category	2	C02.9	II	Malignant neoplasm: Tongue, unspecified	http://id.who.int/icd/entity/63666460	Malignant neoplasms of other or unspecified parts of tongue	Subclass	0
Category	1	C03	II	Malignant neoplasm of gum	http://id.who.int/icd/entity/1719710858	Malignant neoplasms of gum	Equivalent	0
Category	2	C03.0	II	Malignant neoplasm: Upper gum	http://id.who.int/icd/entity/1719710858	Malignant neoplasms of gum	Subclass	0
Category	2	C03.1	II	Malignant neoplasm: Lower gum	http://id.who.int/icd/entity/1719710858	Malignant neoplasms of gum	Subclass	0
Category	2	C03.9	II	Malignant neoplasm: Gum, unspecified	http://id.who.int/icd/entity/1719710858	Malignant neoplasms of gum	Subclass	0
Category	1	C04	II	Malignant neoplasm of floor of mouth	http://id.who.int/icd/entity/359540510	Malignant neoplasms of floor of mouth	Equivalent	0
Category	2	C04.0	II	Malignant neoplasm: Anterior floor of mouth	http://id.who.int/icd/entity/359540510	Malignant neoplasms of floor of mouth	Subclass	0
Category	2	C04.1	II	Malignant neoplasm: Lateral floor of mouth	http://id.who.int/icd/entity/359540510	Malignant neoplasms of floor of mouth	Subclass	0
Category	2	C04.8	II	Malignant neoplasm: Overlapping lesion of floor of mouth	http://id.who.int/icd/entity/359540510	Malignant neoplasms of floor of mouth	Subclass	0
Category	2	C04.9	II	Malignant neoplasm: Floor of mouth, unspecified	http://id.who.int/icd/entity/359540510	Malignant neoplasms of floor of mouth	Subclass	0
Category	1	C05	II	Malignant neoplasm of palate	http://id.who.int/icd/entity/1881533064	Malignant neoplasms of palate	Equivalent	0
Category	2	C05.0	II	Malignant neoplasm: Hard palate	http://id.who.int/icd/entity/1881533064	Malignant neoplasms of palate	Subclass	0
Category	2	C05.1	II	Malignant neoplasm: Soft palate	http://id.who.int/icd/entity/1881533064	Malignant neoplasms of palate	Subclass	0
Category	2	C05.2	II	Malignant neoplasm: Uvula	http://id.who.int/icd/entity/1881533064	Malignant neoplasms of palate	Subclass	0
Category	2	C05.8	II	Malignant neoplasm: Overlapping lesion of palate	http://id.who.int/icd/entity/1881533064	Malignant neoplasms of palate	Subclass	0
Category	2	C05.9	II	Malignant neoplasm: Palate, unspecified	http://id.who.int/icd/entity/1881533064	Malignant neoplasms of palate	Subclass	0
Category	1	C06	II	Malignant neoplasm of other and unspecified parts of mouth	http://id.who.int/icd/entity/76069495	Malignant neoplasms of other or unspecified parts of mouth	Equivalent	0
Category	2	C06.0	II	Malignant neoplasm: Cheek mucosa	http://id.who.int/icd/entity/76069495	Malignant neoplasms of other or unspecified parts of mouth	Subclass	0
Category	2	C06.1	II	Malignant neoplasm: Vestibule of mouth	http://id.who.int/icd/entity/76069495	Malignant neoplasms of other or unspecified parts of mouth	Subclass	0
Category	2	C06.2	II	Malignant neoplasm: Retromolar area	http://id.who.int/icd/entity/76069495	Malignant neoplasms of other or unspecified parts of mouth	Subclass	0
Category	2	C06.8	II	Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth	http://id.who.int/icd/entity/76069495	Malignant neoplasms of other or unspecified parts of mouth	Subclass	0
Category	2	C06.9	II	Malignant neoplasm: Mouth, unspecified	http://id.who.int/icd/entity/76069495	Malignant neoplasms of other or unspecified parts of mouth	Subclass	0
Category	1	C07	II	Malignant neoplasm of parotid gland	http://id.who.int/icd/entity/1640200163	Malignant neoplasms of parotid gland	Equivalent	0
Category	1	C08	II	Malignant neoplasm of other and unspecified major salivary glands	http://id.who.int/icd/entity/480928417	Malignant neoplasms of submandibular or sublingual glands	Equivalent	0
Category	2	C08.0	II	Malignant neoplasm: Submandibular gland	http://id.who.int/icd/entity/480928417	Malignant neoplasms of submandibular or sublingual glands	Subclass	0
Category	2	C08.1	II	Malignant neoplasm: Sublingual gland	http://id.who.int/icd/entity/480928417	Malignant neoplasms of submandibular or sublingual glands	Subclass	0
Category	2	C08.8	II	Malignant neoplasm: Overlapping lesion of major salivary glands	http://id.who.int/icd/entity/480928417	Malignant neoplasms of submandibular or sublingual glands	Subclass	0
Category	2	C08.9	II	Malignant neoplasm: Major salivary gland, unspecified	http://id.who.int/icd/entity/480928417	Malignant neoplasms of submandibular or sublingual glands	Subclass	0
Category	1	C09	II	Malignant neoplasm of tonsil	http://id.who.int/icd/entity/2044833589	Malignant neoplasms of tonsil	Equivalent	0
Category	2	C09.0	II	Malignant neoplasm: Tonsillar fossa	http://id.who.int/icd/entity/2044833589	Malignant neoplasms of tonsil	Subclass	0
Category	2	C09.1	II	Malignant neoplasm: Tonsillar pillar (anterior)(posterior)	http://id.who.int/icd/entity/2044833589	Malignant neoplasms of tonsil	Subclass	0
Category	2	C09.8	II	Malignant neoplasm: Overlapping lesion of tonsil	http://id.who.int/icd/entity/2044833589	Malignant neoplasms of tonsil	Subclass	0
Category	2	C09.9	II	Malignant neoplasm: Tonsil, unspecified	http://id.who.int/icd/entity/2044833589	Malignant neoplasms of tonsil	Subclass	0
Category	1	C10	II	Malignant neoplasm of oropharynx	http://id.who.int/icd/entity/1172876400	Malignant neoplasms of oropharynx	Equivalent	0
Category	2	C10.0	II	Malignant neoplasm: Vallecula	http://id.who.int/icd/entity/1172876400	Malignant neoplasms of oropharynx	Subclass	0
Category	2	C10.1	II	Malignant neoplasm: Anterior surface of epiglottis	http://id.who.int/icd/entity/1172876400	Malignant neoplasms of oropharynx	Subclass	0
Category	2	C10.2	II	Malignant neoplasm: Lateral wall of oropharynx	http://id.who.int/icd/entity/1172876400	Malignant neoplasms of oropharynx	Subclass	0
Category	2	C10.3	II	Malignant neoplasm: Posterior wall of oropharynx	http://id.who.int/icd/entity/1172876400	Malignant neoplasms of oropharynx	Subclass	0
Category	2	C10.4	II	Malignant neoplasm: Branchial cleft	http://id.who.int/icd/entity/1172876400	Malignant neoplasms of oropharynx	Subclass	0
Category	2	C10.8	II	Malignant neoplasm: Overlapping lesion of oropharynx	http://id.who.int/icd/entity/1172876400	Malignant neoplasms of oropharynx	Subclass	0
Category	2	C10.9	II	Malignant neoplasm: Oropharynx, unspecified	http://id.who.int/icd/entity/1172876400	Malignant neoplasms of oropharynx	Subclass	0
Category	1	C11	II	Malignant neoplasm of nasopharynx	http://id.who.int/icd/entity/547578362	Malignant neoplasms of nasopharynx	Equivalent	0
Category	2	C11.0	II	Malignant neoplasm: Superior wall of nasopharynx	http://id.who.int/icd/entity/547578362	Malignant neoplasms of nasopharynx	Subclass	0
Category	2	C11.1	II	Malignant neoplasm: Posterior wall of nasopharynx	http://id.who.int/icd/entity/547578362	Malignant neoplasms of nasopharynx	Subclass	0
Category	2	C11.2	II	Malignant neoplasm: Lateral wall of nasopharynx	http://id.who.int/icd/entity/547578362	Malignant neoplasms of nasopharynx	Subclass	0
Category	2	C11.3	II	Malignant neoplasm: Anterior wall of nasopharynx	http://id.who.int/icd/entity/547578362	Malignant neoplasms of nasopharynx	Subclass	0
Category	2	C11.8	II	Malignant neoplasm: Overlapping lesion of nasopharynx	http://id.who.int/icd/entity/547578362	Malignant neoplasms of nasopharynx	Subclass	0
Category	2	C11.9	II	Malignant neoplasm: Nasopharynx, unspecified	http://id.who.int/icd/entity/547578362	Malignant neoplasms of nasopharynx	Subclass	0
Category	1	C12	II	Malignant neoplasm of piriform sinus	http://id.who.int/icd/entity/1410216197	Malignant neoplasms of piriform sinus	Equivalent	0
Category	1	C13	II	Malignant neoplasm of hypopharynx	http://id.who.int/icd/entity/826670225	Malignant neoplasms of hypopharynx	Equivalent	0
Category	2	C13.0	II	Malignant neoplasm: Postcricoid region	http://id.who.int/icd/entity/826670225	Malignant neoplasms of hypopharynx	Subclass	0
Category	2	C13.1	II	Malignant neoplasm: Aryepiglottic fold, hypopharyngeal aspect	http://id.who.int/icd/entity/826670225	Malignant neoplasms of hypopharynx	Subclass	0
Category	2	C13.2	II	Malignant neoplasm: Posterior wall of hypopharynx	http://id.who.int/icd/entity/826670225	Malignant neoplasms of hypopharynx	Subclass	0
Category	2	C13.8	II	Malignant neoplasm: Overlapping lesion of hypopharynx	http://id.who.int/icd/entity/826670225	Malignant neoplasms of hypopharynx	Subclass	0
Category	2	C13.9	II	Malignant neoplasm: Hypopharynx, unspecified	http://id.who.int/icd/entity/826670225	Malignant neoplasms of hypopharynx	Subclass	0
Category	1	C14	II	Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx	http://id.who.int/icd/entity/1118531333	Malignant neoplasms of other or ill-defined sites in the lip, oral cavity or pharynx	Equivalent	0
Category	2	C14.0	II	Malignant neoplasm: Pharynx, unspecified	http://id.who.int/icd/entity/1118531333	Malignant neoplasms of other or ill-defined sites in the lip, oral cavity or pharynx	Subclass	0
Category	2	C14.2	II	Malignant neoplasm: Waldeyer ring	http://id.who.int/icd/entity/1118531333	Malignant neoplasms of other or ill-defined sites in the lip, oral cavity or pharynx	Subclass	0
Category	2	C14.8	II	Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx	http://id.who.int/icd/entity/1118531333	Malignant neoplasms of other or ill-defined sites in the lip, oral cavity or pharynx	Subclass	0
Block	3	C15-C26	II	Malignant neoplasms of digestive organs	http://id.who.int/icd/entity/911859018	Malignant neoplasms of digestive organs	Equivalent	0
Category	1	C15	II	Malignant neoplasm of oesophagus	http://id.who.int/icd/entity/669033105	Malignant neoplasms of oesophagus	Equivalent	0
Category	2	C15.0	II	Malignant neoplasm: Cervical part of oesophagus	http://id.who.int/icd/entity/669033105	Malignant neoplasms of oesophagus	Subclass	0
Category	2	C15.1	II	Malignant neoplasm: Thoracic part of oesophagus	http://id.who.int/icd/entity/669033105	Malignant neoplasms of oesophagus	Subclass	0
Category	2	C15.2	II	Malignant neoplasm: Abdominal part of oesophagus	http://id.who.int/icd/entity/669033105	Malignant neoplasms of oesophagus	Subclass	0
Category	2	C15.3	II	Malignant neoplasm: Upper third of oesophagus	http://id.who.int/icd/entity/669033105	Malignant neoplasms of oesophagus	Subclass	0
Category	2	C15.4	II	Malignant neoplasm: Middle third of oesophagus	http://id.who.int/icd/entity/669033105	Malignant neoplasms of oesophagus	Subclass	0
Category	2	C15.5	II	Malignant neoplasm: Lower third of oesophagus	http://id.who.int/icd/entity/669033105	Malignant neoplasms of oesophagus	Subclass	0
Category	2	C15.8	II	Malignant neoplasm: Overlapping lesion of oesophagus	http://id.who.int/icd/entity/669033105	Malignant neoplasms of oesophagus	Subclass	0
Category	2	C15.9	II	Malignant neoplasm: Oesophagus, unspecified	http://id.who.int/icd/entity/669033105	Malignant neoplasms of oesophagus	Subclass	0
Category	1	C16	II	Malignant neoplasm of stomach	http://id.who.int/icd/entity/1397617262	Malignant neoplasms of stomach	Equivalent	0
Category	2	C16.0	II	Malignant neoplasm: Cardia	http://id.who.int/icd/entity/1397617262	Malignant neoplasms of stomach	Subclass	0
Category	2	C16.1	II	Malignant neoplasm: Fundus of stomach	http://id.who.int/icd/entity/1397617262	Malignant neoplasms of stomach	Subclass	0
Category	2	C16.2	II	Malignant neoplasm: Body of stomach	http://id.who.int/icd/entity/1397617262	Malignant neoplasms of stomach	Subclass	0
Category	2	C16.3	II	Malignant neoplasm: Pyloric antrum	http://id.who.int/icd/entity/1397617262	Malignant neoplasms of stomach	Subclass	0
Category	2	C16.4	II	Malignant neoplasm: Pylorus	http://id.who.int/icd/entity/1397617262	Malignant neoplasms of stomach	Subclass	0
Category	2	C16.5	II	Malignant neoplasm: Lesser curvature of stomach, unspecified	http://id.who.int/icd/entity/1397617262	Malignant neoplasms of stomach	Subclass	0
Category	2	C16.6	II	Malignant neoplasm: Greater curvature of stomach, unspecified	http://id.who.int/icd/entity/1397617262	Malignant neoplasms of stomach	Subclass	0
Category	2	C16.8	II	Malignant neoplasm: Overlapping lesion of stomach	http://id.who.int/icd/entity/1397617262	Malignant neoplasms of stomach	Subclass	0
Category	2	C16.9	II	Malignant neoplasm: Stomach, unspecified	http://id.who.int/icd/entity/1397617262	Malignant neoplasms of stomach	Subclass	0
Category	1	C17	II	Malignant neoplasm of small intestine	http://id.who.int/icd/entity/906379260	Malignant neoplasms of small intestine	Subclass	-1
Category	2	C17.0	II	Malignant neoplasm: Duodenum	http://id.who.int/icd/entity/1527322574	Malignant neoplasms of duodenum	Equivalent	0
Category	2	C17.1	II	Malignant neoplasm: Jejunum	http://id.who.int/icd/entity/1135366344	Malignant neoplasms of jejunum or ileum	Subclass	0
Category	2	C17.2	II	Malignant neoplasm: Ileum	http://id.who.int/icd/entity/1135366344	Malignant neoplasms of jejunum or ileum	Subclass	0
Category	2	C17.3	II	Malignant neoplasm: Meckel diverticulum	http://id.who.int/icd/entity/906379260	Malignant neoplasms of small intestine	Subclass	0
Category	2	C17.8	II	Malignant neoplasm: Overlapping lesion of small intestine	http://id.who.int/icd/entity/906379260	Malignant neoplasms of small intestine	Subclass	0
Category	2	C17.9	II	Malignant neoplasm: Small intestine, unspecified	http://id.who.int/icd/entity/906379260	Malignant neoplasms of small intestine	Subclass	0
Category	1	C18	II	Malignant neoplasm of colon	http://id.who.int/icd/entity/1265576634	Malignant neoplasms of colon	Equivalent	0
Category	2	C18.0	II	Malignant neoplasm: Caecum	http://id.who.int/icd/entity/361612400	Malignant neoplasm of caecum	Equivalent	0
Category	2	C18.1	II	Malignant neoplasm: Appendix	http://id.who.int/icd/entity/1892026854	Malignant neoplasms of appendix	Equivalent	0
Category	2	C18.2	II	Malignant neoplasm: Ascending colon	http://id.who.int/icd/entity/758254866	Malignant neoplasm of ascending colon and right flexure of colon	Subclass	0
Category	2	C18.3	II	Malignant neoplasm: Hepatic flexure	http://id.who.int/icd/entity/758254866	Malignant neoplasm of ascending colon and right flexure of colon	Subclass	0
Category	2	C18.4	II	Malignant neoplasm: Transverse colon	http://id.who.int/icd/entity/315492123	Malignant neoplasm of transverse colon	Equivalent	0
Category	2	C18.5	II	Malignant neoplasm: Splenic flexure	http://id.who.int/icd/entity/1751848361	Malignant neoplasm of descending colon and splenic flexure of colon	Subclass	0
Category	2	C18.6	II	Malignant neoplasm: Descending colon	http://id.who.int/icd/entity/1751848361	Malignant neoplasm of descending colon and splenic flexure of colon	Subclass	0
Category	2	C18.7	II	Malignant neoplasm: Sigmoid colon	http://id.who.int/icd/entity/1717786596	Malignant neoplasm of sigmoid colon	Equivalent	0
Category	2	C18.8	II	Malignant neoplasm: Overlapping lesion of colon	http://id.who.int/icd/entity/1265576634	Malignant neoplasms of colon	Subclass	0
Category	2	C18.9	II	Malignant neoplasm: Colon, unspecified	http://id.who.int/icd/entity/1265576634	Malignant neoplasms of colon	Equivalent	0
Category	1	C19	II	Malignant neoplasm of rectosigmoid junction	http://id.who.int/icd/entity/774170412	Malignant neoplasms of rectosigmoid junction	Equivalent	0
Category	1	C20	II	Malignant neoplasm of rectum	http://id.who.int/icd/entity/1113099195	Malignant neoplasms of rectum	Equivalent	0
Category	1	C21	II	Malignant neoplasm of anus and anal canal	http://id.who.int/icd/entity/655574575	Malignant neoplasms of anus or anal canal	Equivalent	0
Category	2	C21.0	II	Malignant neoplasm: Anus, unspecified	http://id.who.int/icd/entity/655574575	Malignant neoplasms of anus or anal canal	Subclass	0
Category	2	C21.1	II	Malignant neoplasm: Anal canal	http://id.who.int/icd/entity/655574575	Malignant neoplasms of anus or anal canal	Subclass	0
Category	2	C21.2	II	Malignant neoplasm: Cloacogenic zone	http://id.who.int/icd/entity/655574575	Malignant neoplasms of anus or anal canal	Subclass	0
Category	2	C21.8	II	Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal	http://id.who.int/icd/entity/655574575	Malignant neoplasms of anus or anal canal	Subclass	0
Category	1	C22	II	Malignant neoplasm of liver and intrahepatic bile ducts	http://id.who.int/icd/entity/1404966610	Malignant neoplasms of liver or intrahepatic bile ducts	Equivalent	0
Category	2	C22.0	II	Malignant neoplasm: Liver cell carcinoma	http://id.who.int/icd/entity/1294035808	Hepatocellular carcinoma of liver	Equivalent	0
Category	2	C22.1	II	Malignant neoplasm: Intrahepatic bile duct carcinoma	http://id.who.int/icd/entity/1253728223	Intrahepatic cholangiocarcinoma	Equivalent	0
Category	2	C22.2	II	Malignant neoplasm: Hepatoblastoma	http://id.who.int/icd/entity/1556608523	Hepatoblastoma	Equivalent	0
Category	2	C22.3	II	Malignant neoplasm: Angiosarcoma of liver	http://id.who.int/icd/entity/965491615	Angiosarcoma of liver	Equivalent	0
Category	2	C22.4	II	Malignant neoplasm: Other sarcomas of liver	http://id.who.int/icd/entity/1247979531	Other sarcomas of liver	Equivalent	0
Category	2	C22.7	II	Malignant neoplasm: Other specified carcinomas of liver	http://id.who.int/icd/entity/1605020868	Malignant neoplasm of liver	Subclass	0
Category	2	C22.9	II	Malignant neoplasm: Liver, unspecified	http://id.who.int/icd/entity/1605020868	Malignant neoplasm of liver	Subclass	0
Category	1	C23	II	Malignant neoplasm of gallbladder	http://id.who.int/icd/entity/922082116	Malignant neoplasms of gallbladder	Equivalent	0
Category	1	C24	II	Malignant neoplasm of other and unspecified parts of biliary tract	http://id.who.int/icd/entity/1159416016	Malignant neoplasms of other or unspecified parts of biliary tract	Equivalent	0
Category	2	C24.0	II	Malignant neoplasm: Extrahepatic bile duct	http://id.who.int/icd/entity/1159416016	Malignant neoplasms of other or unspecified parts of biliary tract	Subclass	0
Category	2	C24.1	II	Malignant neoplasm: Ampulla of Vater	http://id.who.int/icd/entity/267067189	Malignant neoplasms of ampulla of Vater	Equivalent	0
Category	2	C24.8	II	Malignant neoplasm: Overlapping lesion of biliary tract	http://id.who.int/icd/entity/1157997589	Other specified malignant neoplasms including those involving overlapping sites of biliary tract	Equivalent	0
Category	2	C24.9	II	Malignant neoplasm: Biliary tract, unspecified	http://id.who.int/icd/entity/1159416016	Malignant neoplasms of other or unspecified parts of biliary tract	Subclass	0
Category	1	C25	II	Malignant neoplasm of pancreas	http://id.who.int/icd/entity/542147910	Malignant neoplasm of pancreas	Equivalent	0
Category	2	C25.0	II	Malignant neoplasm: Head of pancreas	http://id.who.int/icd/entity/542147910	Malignant neoplasm of pancreas	Subclass	0
Category	2	C25.1	II	Malignant neoplasm: Body of pancreas	http://id.who.int/icd/entity/542147910	Malignant neoplasm of pancreas	Subclass	0
Category	2	C25.2	II	Malignant neoplasm: Tail of pancreas	http://id.who.int/icd/entity/542147910	Malignant neoplasm of pancreas	Subclass	0
Category	2	C25.3	II	Malignant neoplasm: Pancreatic duct	http://id.who.int/icd/entity/542147910	Malignant neoplasm of pancreas	Subclass	0
Category	2	C25.4	II	Malignant neoplasm: Endocrine pancreas	http://id.who.int/icd/entity/1421495979	Neuroendocrine neoplasms of pancreas	Equivalent	0
Category	2	C25.7	II	Malignant neoplasm: Other parts of pancreas	http://id.who.int/icd/entity/542147910	Malignant neoplasm of pancreas	Subclass	0
Category	2	C25.8	II	Malignant neoplasm: Overlapping lesion of pancreas	http://id.who.int/icd/entity/542147910	Malignant neoplasm of pancreas	Subclass	0
Category	2	C25.9	II	Malignant neoplasm: Pancreas, unspecified	http://id.who.int/icd/entity/542147910	Malignant neoplasm of pancreas	Equivalent	0
Category	1	C26	II	Malignant neoplasm of other and ill-defined digestive organs	http://id.who.int/icd/entity/1425921467	Malignant neoplasms of other or ill-defined digestive organs	Equivalent	0
Category	2	C26.0	II	Malignant neoplasm: Intestinal tract, part unspecified	http://id.who.int/icd/entity/1425921467	Malignant neoplasms of other or ill-defined digestive organs	Equivalent	0
Category	2	C26.1	II	Malignant neoplasm: Spleen	http://id.who.int/icd/entity/347078862	Malignant neoplasms of the spleen	Subclass	0
Category	2	C26.8	II	Malignant neoplasm: Overlapping lesion of digestive system	http://id.who.int/icd/entity/1425921467	Malignant neoplasms of other or ill-defined digestive organs	Subclass	0
Category	2	C26.9	II	Malignant neoplasm: Ill-defined sites within the digestive system	http://id.who.int/icd/entity/1425921467	Malignant neoplasms of other or ill-defined digestive organs	Subclass	0
Block	3	C30-C39	II	Malignant neoplasms of respiratory and intrathoracic organs	http://id.who.int/icd/entity/1445684773	Malignant neoplasms of middle ear, respiratory or intrathoracic organs	Subclass	-1
Category	1	C30	II	Malignant neoplasm of nasal cavity and middle ear	http://id.who.int/icd/entity/1445684773	Malignant neoplasms of middle ear, respiratory or intrathoracic organs	Subclass	-1
Category	2	C30.0	II	Malignant neoplasm: Nasal cavity	http://id.who.int/icd/entity/1078206702	Malignant neoplasms of nasal cavity	Equivalent	0
Category	2	C30.1	II	Malignant neoplasm: Middle ear	http://id.who.int/icd/entity/621800828	Malignant neoplasms of middle ear	Equivalent	0
Category	1	C31	II	Malignant neoplasm of accessory sinuses	http://id.who.int/icd/entity/1893076536	Malignant neoplasms of accessory sinuses	Equivalent	0
Category	2	C31.0	II	Malignant neoplasm: Maxillary sinus	http://id.who.int/icd/entity/1893076536	Malignant neoplasms of accessory sinuses	Subclass	0
Category	2	C31.1	II	Malignant neoplasm: Ethmoidal sinus	http://id.who.int/icd/entity/1893076536	Malignant neoplasms of accessory sinuses	Subclass	0
Category	2	C31.2	II	Malignant neoplasm: Frontal sinus	http://id.who.int/icd/entity/1893076536	Malignant neoplasms of accessory sinuses	Subclass	0
Category	2	C31.3	II	Malignant neoplasm: Sphenoidal sinus	http://id.who.int/icd/entity/1893076536	Malignant neoplasms of accessory sinuses	Subclass	0
Category	2	C31.8	II	Malignant neoplasm: Overlapping lesion of accessory sinuses	http://id.who.int/icd/entity/1893076536	Malignant neoplasms of accessory sinuses	Subclass	0
Category	2	C31.9	II	Malignant neoplasm: Accessory sinus, unspecified	http://id.who.int/icd/entity/1893076536	Malignant neoplasms of accessory sinuses	Subclass	0
Category	1	C32	II	Malignant neoplasm of larynx	http://id.who.int/icd/entity/75194057	Malignant neoplasms of larynx	Equivalent	0
Category	2	C32.0	II	Malignant neoplasm: Glottis	http://id.who.int/icd/entity/1564166225	Malignant neoplasms of glottis of larynx	Equivalent	0
Category	2	C32.1	II	Malignant neoplasm: Supraglottis	http://id.who.int/icd/entity/946898373	Malignant neoplasms of supraglottis of larynx	Equivalent	0
Category	2	C32.2	II	Malignant neoplasm: Subglottis	http://id.who.int/icd/entity/1289606460	Malignant neoplasms of subglottis of larynx	Equivalent	0
Category	2	C32.3	II	Malignant neoplasm: Laryngeal cartilage	http://id.who.int/icd/entity/2085299685	Other specified malignant neoplasms of laryngeal cartilage	Equivalent	0
Category	2	C32.8	II	Malignant neoplasm: Overlapping lesion of larynx	http://id.who.int/icd/entity/1442651506	Other specified malignant neoplasms involving overlapping sites of larynx	Equivalent	0
Category	2	C32.9	II	Malignant neoplasm: Larynx, unspecified	http://id.who.int/icd/entity/75194057	Malignant neoplasms of larynx	Subclass	0
Category	1	C33	II	Malignant neoplasm of trachea	http://id.who.int/icd/entity/1630573405	Malignant neoplasms of trachea	Equivalent	0
Category	1	C34	II	Malignant neoplasm of bronchus and lung	http://id.who.int/icd/entity/316539081	Malignant neoplasms of bronchus or lung	Equivalent	0
Category	2	C34.0	II	Malignant neoplasm: Main bronchus	http://id.who.int/icd/entity/316539081	Malignant neoplasms of bronchus or lung	Subclass	0
Category	2	C34.1	II	Malignant neoplasm: Upper lobe, bronchus or lung	http://id.who.int/icd/entity/316539081	Malignant neoplasms of bronchus or lung	Subclass	0
Category	2	C34.2	II	Malignant neoplasm: Middle lobe, bronchus or lung	http://id.who.int/icd/entity/316539081	Malignant neoplasms of bronchus or lung	Subclass	0
Category	2	C34.3	II	Malignant neoplasm: Lower lobe, bronchus or lung	http://id.who.int/icd/entity/316539081	Malignant neoplasms of bronchus or lung	Subclass	0
Category	2	C34.8	II	Malignant neoplasm: Overlapping lesion of bronchus and lung	http://id.who.int/icd/entity/316539081	Malignant neoplasms of bronchus or lung	Subclass	0
Category	2	C34.9	II	Malignant neoplasm: Bronchus or lung, unspecified	http://id.who.int/icd/entity/316539081	Malignant neoplasms of bronchus or lung	Subclass	0
Category	1	C37	II	Malignant neoplasm of thymus	http://id.who.int/icd/entity/1718833206	Malignant neoplasms of thymus	Equivalent	0
Category	1	C38	II	Malignant neoplasm of heart, mediastinum and pleura	http://id.who.int/icd/entity/554855119	Malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura	Equivalent	0
Category	2	C38.0	II	Malignant neoplasm: Heart	http://id.who.int/icd/entity/554855119	Malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura	Subclass	-1
Category	2	C38.1	II	Malignant neoplasm: Anterior mediastinum	http://id.who.int/icd/entity/554855119	Malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura	Subclass	-1
Category	2	C38.2	II	Malignant neoplasm: Posterior mediastinum	http://id.who.int/icd/entity/554855119	Malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura	Subclass	-1
Category	2	C38.3	II	Malignant neoplasm: Mediastinum, part unspecified	http://id.who.int/icd/entity/554855119	Malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura	Subclass	-1
Category	2	C38.4	II	Malignant neoplasm: Pleura	http://id.who.int/icd/entity/855261561	Malignant neoplasms of the pleura	Equivalent	0
Category	2	C38.8	II	Malignant neoplasm: Overlapping lesion of heart, mediastinum and pleura	http://id.who.int/icd/entity/268982732	Other specified malignant neoplasms involving overlapping sites of heart, mediastinum or non-mesothelioma of pleura	Equivalent	0
Category	1	C39	II	Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs	http://id.who.int/icd/entity/2119272674	Malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs	Equivalent	0
Category	2	C39.0	II	Malignant neoplasm: Upper respiratory tract, part unspecified	http://id.who.int/icd/entity/2119272674	Malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs	Subclass	0
Category	2	C39.8	II	Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs	http://id.who.int/icd/entity/2119272674	Malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs	Subclass	0
Category	2	C39.9	II	Malignant neoplasm: Ill-defined sites within the respiratory system	http://id.who.int/icd/entity/2119272674	Malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs	Subclass	0
Block	3	C40-C41	II	Malignant neoplasms of bone and articular cartilage	http://id.who.int/icd/entity/1965082709	Malignant mesenchymal neoplasms	Subclass	-1
Category	1	C40	II	Malignant neoplasm of bone and articular cartilage of limbs	http://id.who.int/icd/entity/1965082709	Malignant mesenchymal neoplasms	Subclass	0
